Song Name,Duration,Album,Artists,Artist_id,Album_id,Genre,Release_Date
Profilin - Version,3:53,Always,"The Frightnrs, Preet Patel",0wwBxT2qVH327KlBJbwMEP,2jhdyIrCbitZIzJy2I2Thu,,2022-05-27
The End Of,2:47,Tak€2,Gianni Brezzo,3JJR0ExBP5G8uyhcViM14W,0T903Mg5GQ1eso4YBfJdfl,jazztronica,2017-03-03
To Pali,4:8,Portfolio,Hugo Cottu,6g7NPhA8SvNeDqbn8aSL3x,6vKng8p37Z9vqnP9cDMNjo,,2019-06-25
Tear gas and wings (Goodbye),1:63,The Only Way Out is Through,Jin Yerei,5A2XGov21od4rPuy5U5GaW,5A1fvIYXMIp7dbE2QgcVdf,ethnotronica,2023-10-12
Life Happens to Us All,3:8,Life Happens to Us All,Five and Tens,1iSGeNaCZKmv5B9pHEwWoi,5hyrGVUBHS1UJzfzTnZs9e,,2019-08-15
Feel A Little Better,3:84,96 Degrees In The Shade,Third World,6qfKnsgz1CwyqA7lTdieRJ,3YoEPzjAMfRO18CVXs2evN,"reggae, reggae fusion, roots reggae",1977-01-01
The Moon Is Shining Above The Ricefields,4:2,Tropisch Verlangen,Cybe,0QafFu1D0s1WrS4GpgoEvU,0tqLssCKNx9BgijVqBdVjt,fourth world,2017
An Ever Changing View,6:54,An Ever Changing View,Matthew Halsall,0Cioop2zjxXxtcPUme7R46,2mDAsYdtmCGxxcYRFkTit0,"indie jazz, jazz brass, nu jazz, uk contemporary jazz",2023-09-08
Tau Special,2:86,"The Movers,Vol. 1 - 1970-1976 (Analog Africa No. 35)",The Movers,2X07VlWN9IlypdVxQqtwY6,1CbmdU1mcUHriAQo354REq,rare groove,2022-08-05
Take Stage,3:0,LOGGERHEAD,Wu-Lu,5yRolHpTcDas7KX7KiH6Wd,346cEAiUJrCcj2ddihbTAV,"crank wave, experimental hip hop",2022-07-08
Derecho,4:42,Derecho,Photay,1MSxOmIt7uYgvPydd1tU8F,0F5hiLpSznlU7mejiG2I60,"indie jazz, wonky",2024-07-09
"Valdez Off Crenshaw (feat. Kamasi Washington, Cory Henry & Robert Sput Searight)",7:6,Curly,"Terrace Martin, Curly, Robert ‘Sput’ Searight, Kamasi Washington, Cory Henry",7MNEVabc4cs19CbzAFZmXz,2nU5t7MkLCpkq07YkJv6vf,"alternative r&b, indie soul",2023-07-28
Trouble Always Finds Me,4:03,Psalms of Yellow House,Yellow House,2jAzx88tHo3KNYauXANisl,6iCTigmwPuR3lOmbzWzYH0,south african alternative,2024-06-28
You Me Us,2:72,Queen Anne's Lace,Radon,4mCCNIKqbc10P3GDDEiIr9,1GsyfJGJkAyupDN9R1N283,,2020-05-01
Brighter Days,2:99,Brighter Days,Jiggyvango,3qEkNNTDQ1l1Yp8WxWUke3,2D4GJle6Qpol5wPPnIjhwm,,2024-07-04
Takin' Me Back,3:19,Elevate,30/70,2hmDAP9qrP22L93Pbq7FWM,5No0Nu3mMzaxWwhVcrXep5,"indie jazz, indie soul",2017-10-27
Grubz,3:19,Grubz,"Channo, Luchii",7eW2f3UpJqw9bvk41qK0j7,4IpiBhmhkxPf7xgHYAgBys,,2023-09-13
The Takedown,3:58,Blowout,John Carroll Kirby,7FQiZr787umw7P5dO3zqld,1PtMyRufUsbQ81yMxXjSym,fourth world,2023-06-30
Asc. Scorpio,2:78,Asc. Scorpio,Oracle Sisters,2S11VlKvbvSKyyb7Wk4YP1,1dudQXY04T9fOzNRlnHSYQ,,2020-03-11
Babylon Will Fall,3:11,At 333 House,Pachyman,515f4vsvg0JQWrmt7qpR6l,1ZoJQSxfZempYe5j2auBLh,"puerto rican indie, tropical alternativo",2020-02-07
As We Break the Victor,3:72,Amber of Memory,Tommy Guerrero,5qnkHpjyS6CUxH1UUy82B7,1wV00Zh6cIckaDmbviPqLe,,2023-09-29
The Days Before,2:32,Amber of Memory,Tommy Guerrero,5qnkHpjyS6CUxH1UUy82B7,1wV00Zh6cIckaDmbviPqLe,,2023-09-29
Holding the Ocean,4:15,Amber of Memory,Tommy Guerrero,5qnkHpjyS6CUxH1UUy82B7,1wV00Zh6cIckaDmbviPqLe,,2023-09-29
Abigél,3:64,Abigél,Lords of Lounge,1rr5AQb3MwrAJB4mrw2K88,4urocbivmktstba1fA9Zfs,,2024-04-25
Givin It Up,3:1,King Canyon,"King Canyon, Otis McDonald, Eric Krasno, Mike Chiavaro",78mhiIF6AMT9bmfDp1P9NV,2jl3jU5FnJmFIdIktJYMrf,,2023-01-13
Ayukah,4:33,Kabinett der Phantasie,Keshavara,0jydXaYhlJIF2kLYHPofSI,3IxDuPuBkSphs3whw8kdP7,cologne indie,2021-10-01
Cultivation,3:37,Cultivation,Offthewally,5szdoaeT1yHXbbj6w6z2eD,3AYFDCbrMCQeGrx2iFGPCx,,2024-03-22
Caramel,1:91,Caramel (Special Edition),Connan Mockasin,247AfC9pLuqwgpH8Mo96oA,5MOunDZnvaKkZPJw8BegCK,"experimental pop, kiwi rock, neo-psychedelic",2015-01-23
Little Woman Love - Remastered 2012,2:13,Ram (Archive Collection),"Paul McCartney, Linda McCartney",4STHEaNw4mPZ2tzheohgXB,3DTMsrNO6lEHNmDJ0fsN4v,"classic rock, mellow gold, rock, soft rock",1971-05-17
Eat At Home - Remastered 2012,3:37,Ram (Archive Collection),"Paul McCartney, Linda McCartney",4STHEaNw4mPZ2tzheohgXB,3DTMsrNO6lEHNmDJ0fsN4v,"classic rock, mellow gold, rock, soft rock",1971-05-17
What Do You Do,3:22,What Do You Do,Nia Wyn,6llDm40EBFJNERFGyWn2wH,6YdUUHoGvNTMHeTcNYYHmq,,2023-10-03
Guitar Soundtrack,2:5,Backdrop,Cedric Freeman,2YlaxSEjRPCbEnV3mF3I2m,20Er2ERoLRu061MKC0lRtT,,2022-07-27
It Was A Good Day (Footsteps in the Dark),2:57,Bread 'n' Butter,OMA,6tcltBYoeWDm2P6NoawNIT,1FFDCOjIoWSyWiGKEzkHNR,,2024-01-05
Tierras de Fuego,2:76,Parallèles,Chapelier Fou,60GLWP7xFH3OoN5XGpLBsd,74wxM1Ow5Imvqlx0MGhLuS,"french indie pop, french indietronica",2020-10-16
Morning Light,3:68,Morning Light (Deluxe Version),"Tentendo, Annalisa Fernandez",3eUpxakSdjFZ5ROQKgfL2W,6w6zFr3hWjlBD5YzNLE0rN,australian r&b,2024-02-02
Air Lock,4:01,Air Lock,Photay,1MSxOmIt7uYgvPydd1tU8F,16cYAxA1BaOXAhSgH0T5uc,"indie jazz, wonky",2024-08-13
Bobby’s New Mood,1:35,Get On The Otherside,"Bobby Oroza, Cold Diamond & Mink",7DIW7zcnjQFBTMxhK6V2VQ,2S16kNpGs1zn39HYwcLaJ3,"finnish soul, retro soul, souldies",2022-06-10
Can You Play Me a Song?,3:64,Can You Play Me A Song?,Skinshape,1itM5tXaK5THggpXA7ovAe,3A63HfmUis0dkiaxLnWTM9,psychedelic soul,2024-07-26
Ray Ban,2:92,G.L.P. 1005,I Marc 4,1AHAsPKCaYeTi1DQpmbn9w,41ZGDJAxAzHUVWMGsMn0Di,italian library music,1970-10-20
Bahia Mar,2:57,Flowering Jungle,Monster Rally,3DtnSKmpjFGUzZcccWfG43,0hF86j2MXiUo8UBPUW8Aiz,instrumental hip hop,2017-12-15
